"StartDate","EndDate","Status","Progress","Duration (in seconds)","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","RelevantID_First Click","RelevantID_Last Click","RelevantID_Page Submit","RelevantID_Click Count","Q1_consent","MetaDataQ_Browser","MetaDataQ_Version","MetaDataQ_Operating System","MetaDataQ_Resolution","Q2_lang-DE","Q3_lang_EN","Q4_gender","Q5_age","Q6_residence","Q7_household-size","Q8_household-income","Q9_drivers-license","Q11_car-purch-intent","Q12_EV-experience","Q12_EV-experience_8_TEXT","Q13_car-ownership","Q14_EV-use","Q14_EV-use_8_TEXT","Q15_mobility-usage","Q15_mobility-usage_9_TEXT","Q16_PT-subscr","Q16_PT-subscr_7_TEXT","Q18_PT-spend","Q19_PT-spend-t","Q21_car-spend","Q22_car-spend-t","Q24_EV-range-commute","Q25_EV-range-all","Q27_mob-subscr-inter","Q28_mob-subscr-WTP","Q30_mob-subscr1-PI","Q32_mob-subscr2-PI","Q34_mob-subscr3-PI","Q36_mob-subscr4-PI","Q38_mob-subscr5-PI","Q39_mob-subscr-rank_1","Q39_mob-subscr-rank_2","Q39_mob-subscr-rank_3","Q39_mob-subscr-rank_4","Q39_mob-subscr-rank_5","Q39_mob-subscr-rank_0","Q40_EV-adv","Q40_EV-adv_8_TEXT","Q41_EV-disadv","Q41_EV-disadv_9_TEXT","Q42_end-of-survey","opp","rid","V","gid","sname","enc","isNew","Q_TotalDuration","test","version","test2","gc","term","Q42_end-of-survey - Topics","Q12_EV-experience_12_TEXT - Topics","Q14_EV-use_13_TEXT - Topics","Q41_EV-disadv_18_TEXT - Topics","Q40_EV-adv_12_TEXT - Topics","EV adv. others - Topics","Q16_PT-subscr_10_TEXT - Topics","Q13_12_TEXT - Topics"
"2019-05-30 19:25:30","2019-05-30 19:30:04","0","100","273","1","2019-05-30 19:30:05","R_vDJBr8B4I5T1sd3",NA,NA,NA,NA,"47.1371002197265625","7.24609375","anonymous","FR","0","0","1.02","0","1","Safari iPhone","Unknown","iPhone","375x667","0",NA,"1","54","6","3","8","1","1","1,2,6","-99","1","2","-99","1","-99","1","-99","4","1","6","2","8","8","4","2","1","2","3","3","3","2","6","1","3","4","5","4,6,7","-99","1,2,4","-99","-99","Qual2380-2904Switz",NA,"H","200013","b-11Ydn_ORiBtH9fDtdtd4M8krM","13583","True","273",NA,"2",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-05-30 19:24:38","2019-05-30 19:31:27","0","100","408","1","2019-05-30 19:31:28","R_2q9H3pkxXthhB9Q",NA,NA,NA,NA,"46.5189056396484375","6.6360015869140625","anonymous","FR","0","0","1.846","0","1","Firefox","67.0","Ubuntu","1920x1080","0",NA,"1","46","23","4","6","1","1","2","-99","1","0","-99","2,3","-99","1","-99","1","2","5","1","10","10","5","3","1","1","-1","1","2","4","3","5","2","6","1","3,5,7","-99","1,2,6","-99","-99","Qual2380-2904Switz",NA,"H","200012","b-11Ydn_ORiBtH9fDtdtd4M8krM","13536","True","408",NA,"2",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-05-30 19:29:13","2019-05-30 19:37:26","0","100","493","1","2019-05-30 19:37:27","R_3Dv9DLaP7yWX7ZW",NA,NA,NA,NA,"47.5529022216796875","7.623199462890625","anonymous","DE","0","0","1.111","0","1","Edge","18.18908","Windows NT 10.0","1536x864","0",NA,"1","37","4","3","3","1","1","7","-99","1","0","-99","2","-99","1","-99","23","1","3","1","1","2","3","3","2","2","2","3","-1","1","5","2","4","3","6","1,3,4","-99","1,2,7","-99","-99","Qual2380-2904Switz",NA,"H","200015","b-11Ydn_ORiBtH9fDtdtd4M8krM","13677","True","493",NA,"2",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-05-30 19:24:28","2019-05-30 19:38:43","0","100","854","1","2019-05-30 19:38:44","R_333kCBuw26L538e",NA,NA,NA,NA,"47.51409912109375","7.5579071044921875","anonymous","DE","0","0","1.034","0","1","Firefox","67.0","Windows NT 6.1","1600x900","0",NA,"1","31","4","2","4","1","1","2,6","-99","1","2,6","-99","2","-99","7","U-Abo","1","2","10","1","1","5","4","4","4","4","4","3","5","4","5","1","2","3","6","1,2,3","-99","1,2,6","-99","-99","Qual2380-2904Switz",NA,"H","200011","b-11Ydn_ORiBtH9fDtdtd4M8krM","13489","True","854",NA,"2",NA,"1",NA,NA,NA,NA,NA,NA,NA,"Unknown",NA
"2019-05-30 19:35:42","2019-05-30 19:41:20","0","100","338","1","2019-05-30 19:41:21","R_2TT4Lmj7b9As2zR",NA,NA,NA,NA,"46.5301055908203125","6.5706939697265625","anonymous","DE","0","0","1.024","0","1","Chrome","74.0.3729.157","Android 8.0.0","360x640","0",NA,"1","46","6","2","3","1","1","6","-99","1","0","-99","2,4","-99","0","-99","3","1","14","1","-1","-1","3","2","3","3","3","3","4","1","3","2","4","5","6","1,4,5","-99","2,6","-99","-99","Qual2380-2904Switz",NA,"H","200017","b-11Ydn_ORiBtH9fDtdtd4M8krM","13771","True","338",NA,"2",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-05-30 19:53:06","2019-05-30 20:01:13","0","100","487","1","2019-05-30 20:01:14","R_1eL735miSMsjPxM",NA,NA,NA,NA,"46.7740936279296875","9.2046051025390625","anonymous","DE","0","0","1.119","0","1","Chrome","49.0.2623.112","Windows NT 6.0","1280x800","0",NA,"1","57","10","3","5","1","1","0","-99","2","0","-99","2,4,8","-99","0","-99","1","1","21","1","2","11","4","6","4","3","3","2","2","2","5","1","3","4","6","1,2,7","-99","1,2,6","-99","-99","Qual2380-2904Switz",NA,"H","200021","b-11Ydn_ORiBtH9fDtdtd4M8krM","13959","True","487",NA,"2",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-05-30 20:28:09","2019-05-30 20:34:27","0","100","378","1","2019-05-30 20:34:28","R_AhN7TZxHrFBDpIt",NA,NA,NA,NA,"47.412994384765625","9.183197021484375","anonymous","DE","0","0","1.127","0","1","Firefox","66.0","Windows NT 6.1","1536x864","0",NA,"1","43","19","2","5","1","1","1","-99","1","0","-99","5","-99","1","-99","4","2","5","2","-1","-1","4","3","4","4","4","4","2","2","3","1","4","5","6","1,2,7","-99","1,2,6","-99","-99","Qual2380-2904Switz",NA,"H","200027","b-11Ydn_ORiBtH9fDtdtd4M8krM","14241","True","378",NA,"2",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-05-30 20:31:06","2019-05-30 20:35:30","0","100","264","1","2019-05-30 20:35:31","R_3iq02monLTVVVWU",NA,NA,NA,NA,"46.802398681640625","7.15130615234375","anonymous","DE","0","0","1.041","0","1","Chrome","67.0.3396.87","Android 8.0.0","360x640","0",NA,"0","32","1","4","2","1","1","1,2,5","-99","1","1","-99","1,2,3","-99","7","Passepartout","9","1","3","1","1","1","5","2","5","5","4","5","5","1","2","5","4","3","6","1,2,3","-99","1,2","-99","-99","Qual2380-2904Switz",NA,"H","200028","b-11Ydn_ORiBtH9fDtdtd4M8krM","14288","True","264",NA,"2",NA,"1",NA,NA,NA,NA,NA,NA,NA,"Unknown",NA
"2019-05-30 20:33:28","2019-05-30 20:37:25","0","100","236","1","2019-05-30 20:37:32","R_1IYkqwWUx7gnyQR",NA,NA,NA,NA,"47.5583953857421875","7.57330322265625","anonymous","DE","0","0","1.009","0","1","Chrome","74.0.3729.169","Windows NT 6.3","1366x768","0",NA,"1","43","5","3","3","1","1","8,-1","-99","1","0","-99","1","-99","0","-99","2","1","14","1","1","1","4","6","4","4","4","4","4","1","2","3","4","5","6","1,2,6","-99","2,6","-99","-99","Qual2380-2904Switz",NA,"H","200029","b-11Ydn_ORiBtH9fDtdtd4M8krM","14335","True","236",NA,"2",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-05-30 20:35:18","2019-05-30 20:44:28","0","100","550","1","2019-05-30 20:44:30","R_3EYbVhLyXygJSlN",NA,NA,NA,NA,"46.68389892578125","7.86639404296875","anonymous","DE","0","0","1.107","0","1","Safari","12.1.1","Macintosh","1280x800","0",NA,"0","55","6","1","3","1","1","6","-99","1","6","-99","1,2,3,9","BLA BLA Cars","6","-99","2","1","32","1","1","-1","5","2","4","4","4","3","1","2","3","1","4","5","6","1,3,4","-99","1,2,6","-99","ich arbeite bei der Bahn und erhalte das GA zu einem reduzierten Preis, deshalb ist die Variante mit den TGK für OEV nicht relevant für mich.","Qual2380-2904Switz",NA,"H","200030","b-11Ydn_ORiBtH9fDtdtd4M8krM","14382","True","550",NA,"2",NA,"1",NA,"Unknown",NA,NA,NA,NA,NA,NA,NA
"2019-05-30 20:40:19","2019-05-30 20:46:14","0","100","355","1","2019-05-30 20:46:15","R_2dXAeS8FPEb4RBp",NA,NA,NA,NA,"47.4340972900390625","8.4687042236328125","anonymous","DE","0","0","1.028","0","1","Chrome","67.0.3396.87","Android 8.0.0","360x640","0",NA,"1","46","16","1","4","1","1","0","-99","1","0","-99","2,4","-99","-1","-99","1","2","1","1","-1","-1","1","1","1","1","1","1","2","1","2","3","6","4","5","1,4","-99","2","-99","Keins","Qual2380-2904Switz",NA,"H","200033","b-11Ydn_ORiBtH9fDtdtd4M8krM","14523","True","355",NA,"2",NA,"1",NA,"Unknown",NA,NA,NA,NA,NA,NA,NA
"2019-05-30 20:46:43","2019-05-30 20:54:31","0","100","468","1","2019-05-30 20:54:32","R_12FuYRVOiLY2xsn",NA,NA,NA,NA,"46.9344940185546875","7.5092926025390625","anonymous","DE","0","0","1.012","0","1","Chrome","74.0.3729.169","Macintosh","1440x900","0",NA,"0","27","6","4","8","1","1","6","-99","1","0","-99","2,3,4,7,8","-99","1,3","-99","13","1","4","1","1","4","4","3","3","4","4","4","3","5","4","2","1","3","6","1,3,4","-99","1,2,3","-99","-99","Qual2380-2904Switz",NA,"H","200034","b-11Ydn_ORiBtH9fDtdtd4M8krM","14570","True","468",NA,"2",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-05-30 20:54:26","2019-05-30 21:02:39","0","100","493","1","2019-05-30 21:02:40","R_1ON1F1f9e3X9hYo",NA,NA,NA,NA,"47.36639404296875","8.554595947265625","anonymous","DE","0","0","1.837","0","1","Chrome","74.0.3729.169","Windows NT 10.0","2560x1440","0",NA,"1","47","19","4","5","1","1","3","-99","1","2","-99","1,2","-99","1","-99","1","1","61","1","2","11","4","3","2","2","3","2","2","3","6","2","4","5","1","4,5,7","-99","4,5,6","-99","-99","Qual2380-2904Switz",NA,"H","200037","b-11Ydn_ORiBtH9fDtdtd4M8krM","14711","True","493",NA,"2",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-05-30 21:10:40","2019-05-30 21:14:15","0","100","215","1","2019-05-30 21:14:16","R_xiwrOjoiOz7MUXD",NA,NA,NA,NA,"47.36639404296875","8.554595947265625","anonymous","DE","0","0","1.112","0","1","Chrome","74.0.3729.169","Windows NT 10.0","1366x768","0",NA,"0","21","19","4","6","1","1","0","-99","1","0","-99","4,6,8","-99","6","-99","23","1","1","2","-1","-1","3","2","-1","3","3","3","-1","5","4","1","3","2","6","1,3,4","-99","1,2,6","-99","-99","Qual2380-2904Switz",NA,"H","200040","b-11Ydn_ORiBtH9fDtdtd4M8krM","14852","True","215",NA,"2",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-05-30 21:17:07","2019-05-30 21:20:56","0","100","229","1","2019-05-30 21:20:57","R_2Cqtxp4myC439VY",NA,NA,NA,NA,"47.4239044189453125","9.3748016357421875","anonymous","DE","0","0","1.113","0","1","Chrome","67.0.3396.87","Android 9","360x740","0",NA,"0","36","19","1","4","1","1","0","-99","1","0","-99","2","-99","6","-99","39","1","1","2","1","1","3","1","2","3","3","3","3","3","2","4","1","5","6","1","-99","6","-99","-99","Qual2380-2904Switz",NA,"H","200042","b-11Ydn_ORiBtH9fDtdtd4M8krM","14946","True","229",NA,"2",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-05-30 21:22:37","2019-05-30 21:33:12","0","100","635","1","2019-05-30 21:33:13","R_1QnNGHvJ6NsVn4Y",NA,NA,NA,NA,"46.6179962158203125","7.0569000244140625","anonymous","FR","0","0","1.038","0","1","Safari iPhone","11.0","iPhone","375x667","0",NA,"2","30","7","4","6","1","1","2","-99","2","2","-99","1,4,6","-99","6","-99","1","1","6","1","2","4","1","1","1","1","1","1","2","1","2","5","3","6","4","1,3,4","-99","1,6","-99","-99","Qual2380-2904Switz",NA,"H","200043","b-11Ydn_ORiBtH9fDtdtd4M8krM","14993","True","635",NA,"2",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-05-30 21:31:06","2019-05-30 21:36:59","0","100","352","1","2019-05-30 21:36:59","R_2VCvP4KYhkVvD54",NA,NA,NA,NA,"46.420806884765625","6.2700958251953125","anonymous","FR","0","0","1.075","0","1","Safari iPhone","12.1.1","iPhone","320x568","0",NA,"1","42","7","4","4","1","1","0","-99","2","6","-99","0","-99","0","-99","3","2","6","2","4","3","3","3","3","4","4","3","3","1","5","3","6","4","2","5","-99","2,7","-99","Keine","Qual2380-2904Switz",NA,"H","200046","b-11Ydn_ORiBtH9fDtdtd4M8krM","15134","True","352",NA,"2",NA,"1",NA,"Unknown",NA,NA,NA,NA,NA,NA,NA
"2019-05-30 21:45:18","2019-05-30 21:54:21","0","100","543","1","2019-05-30 21:54:22","R_3CKlfesBqRDcROF",NA,NA,NA,NA,"47.36639404296875","8.554595947265625","anonymous","DE","0","0","1.112","0","1","Safari iPhone","Unknown","iPhone","375x667","0",NA,"0","55","25","2","8","1","1","1,3,4","-99","1","4","-99","2,4,8","-99","1","-99","1","2","8","2","1","8","2","7","2","3","1","1","3","1","2","3","5","4","6","1,3,4","-99","2,3,7","-99","-99","Qual2380-2904Switz",NA,"H","200053","b-11Ydn_ORiBtH9fDtdtd4M8krM","15463","True","543",NA,"2",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-05-30 21:57:28","2019-05-30 22:03:27","0","100","359","1","2019-05-30 22:03:28","R_33xVrVoqIxWyuvn",NA,NA,NA,NA,"47.0384063720703125","8.779205322265625","anonymous","DE","0","0","2.801","0","1","Firefox","67.0","Windows NT 6.1","1600x900","0",NA,"1","40","25","1","3","1","1","8","Benzin und Diesel","1","8","Benzin","2,4","-99","1","-99","9","1","14","1","4","11","5","2","1","1","1","1","1","1","5","2","3","4","6","6,7","-99","1,2,6","-99","-99","Qual2380-2904Switz",NA,"H","200061","b-11Ydn_ORiBtH9fDtdtd4M8krM","15839","True","359",NA,"2",NA,"1",NA,NA,"Unknown","Unknown",NA,NA,NA,NA,NA
"2019-05-30 21:43:08","2019-05-30 22:04:42","0","100","1293","1","2019-05-30 22:04:42","R_1NFdA3LCYVJjKOx",NA,NA,NA,NA,"46.5128021240234375","6.677398681640625","anonymous","EN-GB","0","0","1.022","0","1","Edge","17.17134","Windows NT 10.0","1951x1097","1","0","1","60","23","3","6","1","1","1,4","-99","2","0","-99","2,4,8","-99","1","-99","3","1","6","1","1","10","4","2","1","1","1","1","1","2","1","3","4","5","6","1,2,7","-99","1,2,4","-99","-99","Qual2380-2904Switz",NA,"H","200050","b-11Ydn_ORiBtH9fDtdtd4M8krM","15322","True","1293",NA,"2",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-05-30 22:00:12","2019-05-30 22:10:16","0","100","603","1","2019-05-30 22:10:18","R_10wMs4eu7GQ5OFi",NA,NA,NA,NA,"47.408294677734375","9.6331939697265625","anonymous","DE","0","0","1.024","0","1","Chrome","74.0.3729.157","Android 8.0.0","360x640","0",NA,"1","25","19","4","9","1","1","1,2,4,6,7,8","-99","2","2,4,6","-99","1","-99","6","-99","11","1","30","2","8","8","2","1","4","1","3","3","3","1","3","2","4","5","6","5,6,7","-99","3,6,8","-99","-99","Qual2380-2904Switz",NA,"H","200063","b-11Ydn_ORiBtH9fDtdtd4M8krM","15933","True","603",NA,"2",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-05-30 22:09:15","2019-05-30 22:17:55","0","100","520","1","2019-05-30 22:17:56","R_3QPGxBuzUuiUs16",NA,NA,NA,NA,"46.5189056396484375","6.6360015869140625","anonymous","EN-GB","0","0","1.121","0","1","Safari iPhone","Unknown","iPhone","375x667","1","0","0","21","23","3","5","1","1","0","-99","2","0","-99","1","-99","1","-99","1","1","2","2","8","11","-1","1","1","1","1","1","1","6","4","1","5","3","2","1,2,5","-99","2,6,7","-99","-99","Qual2380-2904Switz",NA,"H","200065","b-11Ydn_ORiBtH9fDtdtd4M8krM","16027",NA,"520",NA,"2",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-05-30 22:13:24","2019-05-30 22:20:27","0","100","422","1","2019-05-30 22:20:28","R_1nYOY0pNYSA6au3",NA,NA,NA,NA,"47.050506591796875","8.306396484375","anonymous","DE","0","0","1.011","0","1","Firefox","67.0","Windows NT 10.0","1600x900","0",NA,"0","52","12","1","1","1","1","0","-99","1","0","-99","2,4","-99","0","-99","1","1","60","1","5","8","4","2","1","1","1","1","1","3","4","2","1","5","6","1,4","-99","1,2,6","-99","-99","Qual2380-2904Switz",NA,"H","200067","b-11Ydn_ORiBtH9fDtdtd4M8krM","16121","True","422",NA,"2",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-05-30 22:19:42","2019-05-30 22:27:08","0","100","446","1","2019-05-30 22:27:09","R_32K3yiHVN07o4Qe",NA,NA,NA,NA,"47.36639404296875","8.554595947265625","anonymous","DE","0","0","1.039","0","1","Chrome","74.0.3729.157","Android 8.0.0","360x740","0",NA,"0","45","21","4","3","1","1","0","-99","2","0","-99","2,4,8","-99","0","-99","4","2","6","2","-1","-1","4","2","4","3","3","2","2","1","4","5","2","3","6","1,4","-99","1,4","-99","-99","Qual2380-2904Switz",NA,"H","200068","b-11Ydn_ORiBtH9fDtdtd4M8krM","16168","True","446",NA,"2",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-05-30 22:22:52","2019-05-30 22:28:40","0","100","348","1","2019-05-30 22:28:41","R_1dB9Q8PQLULCzH3",NA,NA,NA,NA,"47.3285064697265625","8.2050933837890625","anonymous","DE","0","0","1.114","0","1","Chrome","74.0.3729.157","Android 6.0.1","360x640","0",NA,"0","53","1","2","2","1","1","2","-99","1","2","-99","6","-99","1","-99","2","1","2","1","2","2","5","2","5","5","5","5","5","1","2","3","4","5","6","1,2","-99","1,2,6","-99","War alles gut","Qual2380-2904Switz",NA,"H","200069","b-11Ydn_ORiBtH9fDtdtd4M8krM","16215",NA,"348",NA,"2",NA,"1",NA,"Unknown",NA,NA,NA,NA,NA,NA,NA
"2019-05-30 22:31:09","2019-05-30 22:42:19","0","100","670","1","2019-05-30 22:42:19","R_1lxWChIVHnKrgON",NA,NA,NA,NA,"46.5189056396484375","6.6360015869140625","anonymous","EN-GB","0","0","1.025","0","1","Edge","17.17134","Windows NT 10.0","1536x864","1","0","1","45","13","4","8","1","1","2","-99","2","8","gasoil","1","-99","0","-99","1","1","1","1","5","-1","2","2","2","1","2","2","2","1","3","2","4","5","6","4,5,6","-99","1,2,6","-99","-99","Qual2380-2904Switz",NA,"H","200072","b-11Ydn_ORiBtH9fDtdtd4M8krM","16356","True","670",NA,"2",NA,"1",NA,NA,NA,"Unknown",NA,NA,NA,NA,NA
"2019-05-30 22:37:30","2019-05-30 22:44:09","0","100","399","1","2019-05-30 22:44:10","R_110htuirmuGJ3Oa",NA,NA,NA,NA,"47.36639404296875","8.554595947265625","anonymous","DE","0","0","1.118","0","1","Safari iPad","12.1","iPad","768x1024","0",NA,"0","51","25","1","3","1","1","0","-99","1","0","-99","2,4,8","-99","1,7","Zu bonuspass","8","1","2","2","2","5","5","1","2","1","1","2","2","5","6","3","4","2","1","1,3,6","-99","1,2,3","-99","-99","Qual2380-2904Switz",NA,"H","200077","b-11Ydn_ORiBtH9fDtdtd4M8krM","16591","True","399",NA,"2",NA,"1",NA,NA,NA,NA,NA,NA,NA,"Unknown",NA
"2019-05-30 22:41:17","2019-05-30 22:50:26","0","100","548","1","2019-05-30 22:50:27","R_2uWJrxv7Z0s1WJ1",NA,NA,NA,NA,"47.350006103515625","7.9033050537109375","anonymous","DE","0","0","1.037","0","1","Safari iPhone","Unknown","iPhone","320x568","0",NA,"1","49","18","1","2","1","1","6","-99","1","0","-99","2,4","-99","1","-99","2","1","1","2","3","1","4","2","3","3","4","3","3","1","2","3","4","5","6","1,2,3","-99","1,2,4","-99","-99","Qual2380-2904Switz",NA,"H","200079","b-11Ydn_ORiBtH9fDtdtd4M8krM","16685","True","548",NA,"2",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-05-30 22:34:00","2019-05-30 22:52:00","0","100","1079","1","2019-05-30 22:52:01","R_2uX0hyAMAFMXgnP",NA,NA,NA,NA,"47.046905517578125","8.37469482421875","anonymous","DE","0","0","1.041","0","1","Chrome","67.0.3396.87","Android 7.0","360x640","0",NA,"1","40","1","1","4","1","1","0","-99","1","0","-99","1,2,3,4","-99","6","-99","49","1","3","2","2","5","4","7","3","3","4","3","3","1","6","2","3","5","4","4","-99","4,5,6","-99","-99","Qual2380-2904Switz",NA,"H","200075","b-11Ydn_ORiBtH9fDtdtd4M8krM","16497","True","1079",NA,"2",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-05-30 22:45:31","2019-05-30 22:54:26","0","100","534","1","2019-05-30 22:54:27","R_a4MFb8zQ6wWkRoZ",NA,NA,NA,NA,"47.482696533203125","7.5498046875","anonymous","DE","0","0","1.214","0","1","Safari iPhone","Unknown","iPhone","375x667","0",NA,"0","23","5","3","-1","1","1","-1","-99","2","0","-99","2,4,8","-99","1","-99","2","1","1","1","1","3","4","2","3","3","3","4","2","5","2","3","1","6","4","1,5,7","-99","2,3,9","Umweltverträglichkeit bei Herstellung","-99","Qual2380-2904Switz",NA,"H","200081","b-11Ydn_ORiBtH9fDtdtd4M8krM","16779","True","534",NA,"2",NA,"1",NA,NA,NA,NA,"Unknown",NA,NA,NA,NA
"2019-05-30 22:42:05","2019-05-30 22:57:45","0","100","940","1","2019-05-30 22:57:46","R_24opfElrFrZ5lMO",NA,NA,NA,NA,"47.36639404296875","8.554595947265625","anonymous","DE","0","0","1.035","0","1","Chrome","67.0.3396.87","Android 7.0","360x640","0",NA,"1","40","25","4","5","1","1","5","-99","2","0","-99","2,4,6,8","-99","1","-99","1","1","30","1","2","10","4","4","-1","1","1","1","1","1","6","2","3","4","5","6,7","-99","1,2,6","-99","-99","Qual2380-2904Switz",NA,"H","200080","b-11Ydn_ORiBtH9fDtdtd4M8krM","16732","True","940",NA,"2",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-05-30 22:57:25","2019-05-30 23:09:42","0","100","737","1","2019-05-30 23:09:43","R_9uJhOLOzmHRUNLb",NA,NA,NA,NA,"47.4998016357421875","9.3957977294921875","anonymous","DE","0","0","1.114","0","1","Safari iPhone","12.1","iPhone","414x896","0",NA,"1","52","21","2","-2","1","1","1,3,6","-99","2","8","benzin und diesel","1,2,3,4,5,8","-99","1","-99","40","1","111","1","3","9","5","11","5","1","4","1","1","1","3","2","4","5","6","5,7,8","reichweite","1,2,6","-99","-99","Qual2380-2904Switz",NA,"H","200084","b-11Ydn_ORiBtH9fDtdtd4M8krM","16920","True","737",NA,"2",NA,"1",NA,NA,NA,"Unknown",NA,"Unknown",NA,NA,NA
"2019-05-30 23:12:22","2019-05-30 23:17:36","0","100","314","1","2019-05-30 23:17:36","R_2uI3NG0JYImMgSZ",NA,NA,NA,NA,"46.802398681640625","7.15130615234375","anonymous","DE","0","0","1.116","0","1","Firefox","67.0","Windows NT 6.1","1366x768","0",NA,"0","46","7","3","3","1","1","1,8","-99","1","2","-99","3,6","-99","1","-99","5","1","5","1","3","4","4","2","4","4","3","4","3","2","3","1","4","5","6","3","-99","2,4","-99","nein","Qual2380-2904Switz",NA,"H","200091","b-11Ydn_ORiBtH9fDtdtd4M8krM","17249","True","314",NA,"2",NA,"1",NA,"Unknown",NA,NA,NA,NA,NA,NA,NA
"2019-05-30 23:25:36","2019-05-30 23:33:33","0","100","476","1","2019-05-30 23:33:33","R_wS1YcwWvT6lgK1r",NA,NA,NA,NA,"47.5583953857421875","7.57330322265625","anonymous","DE","0","0","1.13","0","1","Safari iPhone","Unknown","iPhone","414x736","0",NA,"0","44","4","2","3","1","1","0","-99","2","0","-99","1,4,8","-99","7","U Abo","1","1","1","1","1","4","3","1","3","3","3","3","3","2","6","5","4","3","1","1,5,7","-99","1,2,9","Entsorgung der Batterie","-99","Qual2380-2904Switz",NA,"H","200096","b-11Ydn_ORiBtH9fDtdtd4M8krM","17484","True","476",NA,"2",NA,"1",NA,NA,NA,NA,"Unknown",NA,NA,"Unknown",NA
"2019-05-30 23:18:17","2019-05-30 23:36:02","0","100","1065","1","2019-05-30 23:36:02","R_3e7YMSpdldbSLfk",NA,NA,NA,NA,"47.36639404296875","8.554595947265625","anonymous","DE","0","0","1.038","0","1","Chrome","67.0.3396.87","Android 8.0.0","360x640","0",NA,"1","38","25","4","4","1","1","1,2,6,7","-99","2","0","-99","1,2,4","-99","6","-99","3","1","10","1","1","1","4","2","3","1","2","2","2","2","5","4","3","6","1","1,3,6","-99","1,2,9","Die Kosten der Batterie nach ablauf der Garantie. Die Umwelt leidet unter der Herstellung der Batterien immer mehr, es ist auch eine Katastrophe gleich wie Co2 Ozon kaputt macht,ist die batterieherstellung schädlich für den boden","-99","Qual2380-2904Switz",NA,"H","200093","b-11Ydn_ORiBtH9fDtdtd4M8krM","17343","True","1065",NA,"2",NA,"1",NA,NA,NA,NA,"Unknown",NA,NA,NA,NA
"2019-05-30 23:34:53","2019-05-30 23:38:13","0","100","200","1","2019-05-30 23:38:15","R_1jxNXpop9PCFS7s",NA,NA,NA,NA,"47.396697998046875","8.447601318359375","anonymous","DE","0","0","1.015","0","1","Safari","12.1.1","Macintosh","1680x1050","0",NA,"0","38","6","1","2","1","1","1,6","-99","1","8","benzin","1,2,4","-99","0","-99","1","1","1","2","1","1","4","1","4","4","4","3","5","2","1","4","3","5","6","2","-99","4","-99","-99","Qual2380-2904Switz",NA,"H","200099","b-11Ydn_ORiBtH9fDtdtd4M8krM","17625","True","200",NA,"2",NA,"1",NA,NA,NA,"Unknown",NA,NA,NA,NA,NA
"2019-05-30 23:51:35","2019-05-30 23:58:56","0","100","440","1","2019-05-30 23:58:56","R_3oHofisk2YXYybZ",NA,NA,NA,NA,"47.4340972900390625","8.4687042236328125","anonymous","DE","0","0","1.023","0","1","Safari iPhone","Unknown","iPhone","414x736","0",NA,"1","29","25","3","4","1","1","2","-99","1","0","-99","2,4","-99","0","-99","6","1","8","1","4","8","4","3","4","3","3","-1","4","1","5","2","3","4","6","1,5,6","-99","1,4,6","-99","-99","Qual2380-2904Switz",NA,"H","200102","b-11Ydn_ORiBtH9fDtdtd4M8krM","17766",NA,"440",NA,"2",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
